令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（０～64歳）
,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1605378,1033675,19148,66131,20375,-,196003,262883,27538,1266,1107,10,-,-,-,-,131,18,196,161,-,-,-,-,-,31,4,135,114,-,-,-,-,-,18,3,99,82,-,-,-,-,-,13,4,89,70,-,-,-,-,-,16,3,1785,1534,10,-,-,-,-,209,32,349,264,-,-,-,-,-,71,14,513,379,1,-,-,-,-,97,36,1284,730,3,-,-,-,1,314,236,2170,914,3,-,-,-,1,714,538,2299,968,7,-,-,-,3,798,523,2765,1301,7,-,-,-,5,919,533,4237,2242,14,-,-,-,23,1352,606,6835,3839,29,1,-,-,52,2164,750,12401,7503,46,3,2,-,102,3762,985,22134,13738,102,32,19,-,262,6741,1259,29979,19032,156,45,24,-,531,9024,1191,41886,27818,261,151,62,-,1018,11428,1210
,男　Ｍ．,819709,562711,9016,22890,7635,-,62538,146844,15710,647,558,6,-,-,-,-,75,8,104,90,-,-,-,-,-,12,2,60,50,-,-,-,-,-,10,-,48,42,-,-,-,-,-,5,1,45,33,-,-,-,-,-,11,1,904,773,6,-,-,-,-,113,12,191,147,-,-,-,-,-,36,8,275,207,1,-,-,-,-,54,13,714,426,2,-,-,-,-,158,128,1376,566,3,-,-,-,1,425,381,1422,575,4,-,-,-,1,472,370,1808,751,5,-,-,-,1,624,427,2696,1322,9,-,-,-,14,879,472,4388,2303,18,1,-,-,23,1432,611,7846,4466,27,3,2,-,46,2509,795,14180,8412,58,22,11,-,147,4538,1003,20095,12305,92,27,14,-,303,6390,978,28887,18729,169,101,39,-,650,8262,976
,女　Ｆ．,785669,470964,10132,43241,12740,-,133465,116039,11828,619,549,4,-,-,-,-,56,10,92,71,-,-,-,-,-,19,2,75,64,-,-,-,-,-,8,3,51,40,-,-,-,-,-,8,3,44,37,-,-,-,-,-,5,2,881,761,4,-,-,-,-,96,20,158,117,-,-,-,-,-,35,6,238,172,-,-,-,-,-,43,23,570,304,1,-,-,-,1,156,108,794,348,-,-,-,-,-,289,157,877,393,3,-,-,-,2,326,153,957,550,2,-,-,-,4,295,106,1541,920,5,-,-,-,9,473,134,2447,1536,11,-,-,-,29,732,139,4555,3037,19,-,-,-,56,1253,190,7954,5326,44,10,8,-,115,2203,256,9884,6727,64,18,10,-,228,2634,213,12999,9089,92,50,23,-,368,3166,234
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24547,21617,273,400,159,-,987,1174,96,43,42,-,-,-,-,-,1,-,25,23,-,-,-,-,-,2,-,9,7,-,-,-,-,-,2,-,6,6,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,90,85,-,-,-,-,-,5,-,20,20,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,16,14,-,-,-,-,-,2,-,21,19,-,-,-,-,-,1,1,32,29,-,-,-,-,-,3,-,48,45,-,-,-,-,-,3,-,75,69,1,-,-,-,2,3,-,133,120,-,-,-,-,-,13,-,242,224,1,-,-,-,3,13,1,380,332,2,1,1,-,5,37,3,595,529,6,1,-,-,14,40,5
,男　Ｍ．,12340,11173,127,138,52,-,321,548,33,23,22,-,-,-,-,-,1,-,13,13,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,46,45,-,-,-,-,-,1,-,12,12,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,8,6,-,-,-,-,-,2,-,11,10,-,-,-,-,-,-,1,20,17,-,-,-,-,-,3,-,36,33,-,-,-,-,-,3,-,49,47,-,-,-,-,1,1,-,94,86,-,-,-,-,-,8,-,160,147,1,-,-,-,1,10,1,270,232,2,-,-,-,3,30,3,414,364,5,1,-,-,10,30,4
,女　Ｆ．,12207,10444,146,262,107,-,666,626,63,20,20,-,-,-,-,-,-,-,12,10,-,-,-,-,-,2,-,6,4,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,44,40,-,-,-,-,-,4,-,8,8,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,12,12,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,-,26,22,1,-,-,-,1,2,-,39,34,-,-,-,-,-,5,-,82,77,-,-,-,-,2,3,-,110,100,-,1,1,-,2,7,-,181,165,1,-,-,-,4,10,1
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2284,1927,34,66,18,-,115,131,11,3,3,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,17,15,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,14,12,-,-,-,-,1,1,-,23,19,-,-,-,-,-,4,-,39,31,1,-,-,-,-,7,-
,男　Ｍ．,1012,888,13,19,4,-,26,65,1,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,9,8,-,-,-,-,-,1,-,16,13,-,-,-,-,-,3,-,27,21,-,-,-,-,-,6,-
,女　Ｆ．,1272,1039,21,47,14,-,89,66,10,1,1,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,9,7,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,4,-,-,-,-,1,-,-,7,6,-,-,-,-,-,1,-,12,10,1,-,-,-,-,1,-
