令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,65458,44779,493,431,170,-,2189,16291,1275,125681,87522,1072,1508,649,-,6174,27462,1943,187802,132699,1756,3511,1345,-,11784,35661,2391,263926,184511,2975,8015,2819,-,23531,41977,2917,320658,214476,4368,14615,4746,-,41354,42339,3506,306460,186661,4663,19633,5799,-,55761,35824,3918,164950,86119,2559,13715,3745,-,40151,19935,2471,41263,16572,622,4470,995,-,13057,5790,752,543,74,1,1,-,-,4,11,452
,男　Ｍ．,45701,30628,314,302,118,-,1481,11960,1016,86210,59580,771,997,416,-,3918,19465,1479,122696,87717,1163,2124,820,-,6741,23305,1646,155443,112323,1740,4070,1496,-,10960,24696,1654,160951,114596,2143,6148,2071,-,15052,21443,1569,116324,78586,1747,5971,1836,-,14719,14082,1219,41359,25305,655,2629,706,-,7125,5125,520,5832,2936,88,495,106,-,1353,869,91,411,58,1,-,-,-,3,7,342
,女　Ｆ．,19757,14151,179,129,52,-,708,4331,259,39471,27942,301,511,233,-,2256,7997,464,65106,44982,593,1387,525,-,5043,12356,745,108483,72188,1235,3945,1323,-,12571,17281,1263,159707,99880,2225,8467,2675,-,26302,20896,1937,190136,108075,2916,13662,3963,-,41042,21742,2699,123591,60814,1904,11086,3039,-,33026,14810,1951,35431,13636,534,3975,889,-,11704,4921,661,132,16,-,1,-,-,1,4,110
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1083,975,16,3,2,-,17,69,3,2013,1807,21,16,10,-,62,100,7,3284,2949,34,34,13,-,95,166,6,4703,4206,46,58,25,-,163,219,11,5481,4806,67,106,37,-,241,242,19,4298,3730,52,102,44,-,226,163,25,1743,1432,26,62,21,-,129,81,13,266,203,1,17,6,-,30,13,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,689,625,9,2,1,-,10,42,1,1259,1133,14,12,8,-,37,58,5,1984,1813,20,15,6,-,43,88,5,2520,2285,24,27,9,-,70,110,4,2565,2327,28,39,11,-,67,99,5,1655,1510,16,27,14,-,55,44,3,488,431,8,11,3,-,22,16,-,46,37,-,4,-,-,2,2,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,394,350,7,1,1,-,7,27,2,754,674,7,4,2,-,25,42,2,1300,1136,14,19,7,-,52,78,1,2183,1921,22,31,16,-,93,109,7,2916,2479,39,67,26,-,174,143,14,2643,2220,36,75,30,-,171,119,22,1255,1001,18,51,18,-,107,65,13,220,166,1,13,6,-,28,11,1,-,-,-,-,-,-,-,-,-
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,68,52,3,-,-,-,-,13,-,139,125,2,-,-,-,3,9,-,226,196,4,3,-,-,11,12,-,386,341,-,10,2,-,15,20,-,529,463,7,15,5,-,20,22,2,501,418,12,15,4,-,29,22,5,276,208,4,17,6,-,28,16,3,43,26,1,6,1,-,8,1,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,40,31,1,-,-,-,-,8,-,92,80,2,-,-,-,3,7,-,132,119,3,-,-,-,4,6,-,200,180,-,3,-,-,6,11,-,234,205,3,8,2,-,6,11,1,168,150,4,4,2,-,5,5,-,65,55,-,3,-,-,2,5,-,6,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,28,21,2,-,-,-,-,5,-,47,45,-,-,-,-,-,2,-,94,77,1,3,-,-,7,6,-,186,161,-,7,2,-,9,9,-,295,258,4,7,3,-,14,11,1,333,268,8,11,2,-,24,17,5,211,153,4,14,6,-,26,11,3,37,21,1,5,1,-,8,1,1,-,-,-,-,-,-,-,-,-
